nom,habitants,lon,lat
Paris,2161000,2.3522,48.8566
Marseille,870000,5.3698,43.2965
Lyon,520000,4.8357,45.764
Toulouse,510000,1.4442,43.6047
Nice,350000,7.262,43.7102
Nantes,325000,-1.5536,47.2184
Montpellier,305000,3.8767,43.611
Strasbourg,290000,7.7521,48.5734
Bordeaux,260000,-0.5792,44.8378
Lille,240000,3.0573,50.6292
Rennes,225000,-1.6778,48.1173
Reims,185000,4.0317,49.2583
Le Havre,170000,0.1079,49.4944
Saint-Étienne,170000,4.3872,45.4397
Toulon,175000,5.928,43.1242
Grenoble,160000,5.7245,45.1885
Dijon,160000,5.0415,47.322
Angers,155000,-0.5632,47.4784
Nîmes,150000,4.3601,43.8367
Aix-en-Provence,145000,5.4474,43.5297
